2018-03-11 15:59:17 INFO  DefaultListableBeanFactory:895 - Replacing scope 'request' from [org.springframework.web.context.request.RequestScope@43548862] to [org.springframework.web.context.request.RequestScope@6f83701a]
2018-03-11 15:59:17 INFO  AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-03-11 16:00:30 INFO  root:50 - Начала работать программа ревизор
2018-03-11 16:00:30 INFO  root:51 - Статус end : false
2018-03-11 16:01:21 INFO  root:54 - Формирование всех OK. Работает поток pool-5-thread-1
2018-03-11 16:01:21 INFO  root:64 - Каталог успешно создан
2018-03-11 16:01:21 INFO  root:110 - Данные daily для Весна 1 главный сформированы
2018-03-11 16:01:21 INFO  root:119 - Измерение total_moth для Весна 1 главный есть1
2018-03-11 16:01:22 INFO  CustomerServiceImpl:118 - Contact saved with id: 103
2018-03-11 16:01:22 INFO  root:129 - Данные для преобразования excel для Весна 1 главный готовы
2018-03-11 16:01:23 INFO  root:133 - excel для Весна 1 главный сформирован
2018-03-11 16:01:25 INFO  root:110 - Данные daily для Весна 1 выставочный сформированы
2018-03-11 16:01:25 INFO  root:119 - Измерение total_moth для Весна 1 выставочный есть1
2018-03-11 16:01:25 INFO  CustomerServiceImpl:118 - Contact saved with id: 104
2018-03-11 16:01:25 INFO  root:129 - Данные для преобразования excel для Весна 1 выставочный готовы
2018-03-11 16:01:25 INFO  root:133 - excel для Весна 1 выставочный сформирован
2018-03-11 16:01:25 INFO  root:110 - Данные daily для Витамин сформированы
2018-03-11 16:01:25 INFO  root:119 - Измерение total_moth для Витамин есть1
2018-03-11 16:01:25 INFO  CustomerServiceImpl:118 - Contact saved with id: 105
2018-03-11 16:01:25 INFO  root:129 - Данные для преобразования excel для Витамин готовы
2018-03-11 16:01:25 INFO  root:133 - excel для Витамин сформирован
2018-03-11 16:01:25 INFO  root:110 - Данные daily для Горького сформированы
2018-03-11 16:01:25 INFO  root:119 - Измерение total_moth для Горького есть1
2018-03-11 16:01:25 INFO  CustomerServiceImpl:118 - Contact saved with id: 107
2018-03-11 16:01:25 INFO  root:129 - Данные для преобразования excel для Горького готовы
2018-03-11 16:01:25 INFO  root:133 - excel для Горького сформирован
2018-03-11 16:01:26 INFO  root:110 - Данные daily для Головащенко В.А. сформированы
2018-03-11 16:01:26 INFO  root:119 - Измерение total_moth для Головащенко В.А. есть1
2018-03-11 16:01:26 INFO  CustomerServiceImpl:118 - Contact saved with id: 108
2018-03-11 16:01:26 INFO  root:129 - Данные для преобразования excel для Головащенко В.А. готовы
2018-03-11 16:01:26 INFO  root:133 - excel для Головащенко В.А. сформирован
2018-03-11 16:01:26 INFO  root:110 - Данные daily для Димитрова спальный сформированы
2018-03-11 16:01:26 INFO  root:119 - Измерение total_moth для Димитрова спальный есть1
2018-03-11 16:01:26 INFO  CustomerServiceImpl:118 - Contact saved with id: 109
2018-03-11 16:01:26 INFO  root:129 - Данные для преобразования excel для Димитрова спальный готовы
2018-03-11 16:01:26 INFO  root:133 - excel для Димитрова спальный сформирован
2018-03-11 16:01:27 INFO  root:110 - Данные daily для Димитрова лечебный сформированы
